Registration ID,Registration Date,Year,Month,MonthName,Week,Competition,Student Name,School,Grade,City,Country,Registration Source
REG-2025-01409,2025-01-01,2025,1,Jan,1,International Science Olympiad,Student 2025_01409,Oakridge International School,3,Gurugram,India,Social Media
REG-2025-01482,2025-01-01,2025,1,Jan,1,International Mathematics Olympiad,Student 2025_01482,The Millennium School,7,Bengaluru,India,WhatsApp
REG-2025-01739,2025-01-01,2025,1,Jan,1,International School Olympiad,Student 2025_01739,Oakridge International School,11,Abu Dhabi,India,Partner School
REG-2025-01488,2025-01-01,2025,1,Jan,1,International Coding Olympiad,Student 2025_01488,Delhi International School,8,Sharjah,UAE,Partner School
REG-2025-01622,2025-01-01,2025,1,Jan,1,International Science Olympiad,Student 2025_01622,Unknown School,8,Bengaluru,UAE,WhatsApp
REG-2025-00575,2025-01-02,2025,1,Jan,1,Young Innovators Challenge,Student 2025_00575,The Indian High School,11,Gurugram,India,School Outreach
REG-2025-00901,2025-01-02,2025,1,Jan,1,International Science Olympiad,Student 2025_00901,Amity International School,9,Gurugram,Qatar,Website
REG-2025-00104,2025-01-02,2025,1,Jan,1,International Coding Olympiad,Student 2025_00104,Sunrise Public School,1,Dubai,UAE,WhatsApp
REG-2025-01550,2025-01-02,2025,1,Jan,1,International Science Olympiad,Student 2025_01550,Bright Future Academy,10,Doha,UAE,School Outreach
REG-2025-00846,2025-01-02,2025,1,Jan,1,International Science Olympiad,Student 2025_00846,GEMS Modern Academy,5,Gurugram,India,School Outreach
REG-2025-00707,2025-01-02,2025,1,Jan,1,Winter Painting Competition,Student 2025_00707,Gurukul Global School,5,Abu Dhabi,India,Partner School
REG-2025-00381,2025-01-02,2025,1,Jan,1,AI & Robotics Challenge,Student 2025_00381,Sunrise Public School,1,Mumbai,India,Partner School
REG-2025-00465,2025-01-02,2025,1,Jan,1,Young Innovators Challenge,Student 2025_00465,Bright Future Academy,10,Mumbai,UAE,Website
REG-2025-01237,2025-01-02,2025,1,Jan,1,International Mathematics Olympiad,Student 2025_01237,Amity International School,8,Abu Dhabi,India,Partner School
REG-2025-01190,2025-01-02,2025,1,Jan,1,Young Innovators Challenge,Student 2025_01190,Amity International School,11,Mumbai,UAE,WhatsApp
REG-2025-00845,2025-01-02,2025,1,Jan,1,Student Speaker Competition,Student 2025_00845,Delhi International School,12,Dubai,India,School Outreach
REG-2025-01294,2025-01-02,2025,1,Jan,1,International Coding Olympiad,Student 2025_01294,Oakridge International School,9,Mumbai,UAE,Partner School
REG-2025-00773,2025-01-02,2025,1,Jan,1,Student Speaker Competition,Student 2025_00773,Gurukul Global School,6,New Delhi,Qatar,Social Media
REG-2025-01279,2025-01-03,2025,1,Jan,1,International Mathematics Olympiad,Student 2025_01279,The Indian High School,3,Doha,India,WhatsApp
